#domain,port,ioc,ip
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.mtu90.com,443,Possible GLKVM Domain (Unverified),79.98.186.233
glkvm.schuller-it.de,1443,Possible GLKVM Domain (Unverified),87.106.162.176
gm.topmser.ddnsgeek.com,4445,Possible PiKVM Domain (Unverified),210.6.96.136
gmzozjoylyzicw6q.myfritz.net,443,Possible GLKVM Domain (Unverified),194.183.30.78
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.30.78
gonzalez-hemma.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
goodtaste2.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),114.33.70.204
gost.heiok.top,42025,Possible PiKVM Domain (Unverified),1.14.75.7
gpve.reskinol.com.ua,8008,Possible NanoKVM Domain (Unverified),178.151.225.227
guacamole.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
hamon0720.kami.live,59057,Possible NanoKVM Domain (Unverified),116.127.199.214
hanwusk.com,202,Possible PiKVM Domain (Unverified),120.27.15.209
haraspberrypi.duckdns.org,10001,Possible NanoKVM Domain (Unverified),109.194.141.174
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
head.yeliya.site,10443,Possible PiKVM Domain (Unverified),118.195.219.163
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
hlabbe.synology.me,80,Possible GLKVM Domain (Unverified),76.102.11.72
homarr.sam.net.ru,8083,Possible NanoKVM Domain (Unverified),46.32.81.28
homarr.sam.net.ru,8084,Possible NanoKVM Domain (Unverified),46.32.81.28
home.stefano-baldi.com,40443,Possible GLKVM Domain (Unverified),80.73.236.18
hoper.65-studio.com,8889,Possible NanoKVM Domain (Unverified),188.233.254.37
hs.agafonov.club,19680,Possible NanoKVM Domain (Unverified),89.19.177.198
hs.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hsgprofessional.com,5040,Possible GLKVM Domain (Unverified),75.40.52.208
idired.direct.quickconnect.to,12345,Possible NanoKVM Domain (Unverified),79.117.124.164
iexcept.direct.quickconnect.to,17171,Possible PiKVM Domain (Unverified),185.143.146.25
ifhtp.com,1380,Possible NanoKVM Domain (Unverified),24.141.29.13
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
