#domain,port,ioc,ip
gd.zhypro.cn,51111,Possible GLKVM Domain (Unverified),106.52.180.169
gd.zhypro.cn,51112,Possible GLKVM Domain (Unverified),106.52.180.169
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.nekrylov.com,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
git.tdehaeze.xyz,47392,Possible PiKVM Domain (Unverified),82.66.44.13
gitlab-bridge.euroident.de,4433,Possible GLKVM Domain (Unverified),87.140.5.121
gitlab-page.itpours.com,3662,Possible PiKVM Domain (Unverified),171.35.84.50
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.mtu90.com,443,Possible GLKVM Domain (Unverified),79.98.186.233
gm.topmser.ddnsgeek.com,4445,Possible PiKVM Domain (Unverified),210.6.96.136
gmzozjoylyzicw6q.myfritz.net,443,Possible GLKVM Domain (Unverified),194.183.30.78
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.30.78
go.serrakh.com,443,Possible GLKVM Domain (Unverified),5.135.94.205
gonzalez-hemma.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
goodtaste2.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),114.33.70.204
gost.heiok.top,42025,Possible PiKVM Domain (Unverified),1.14.75.7
gpve.reskinol.com.ua,8008,Possible NanoKVM Domain (Unverified),178.151.225.227
gpve.reskinol.com.ua,8089,Possible NanoKVM Domain (Unverified),178.151.225.227
guacamole.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
gumi.rhkr8521.com,443,Possible GLKVM Domain (Unverified),218.150.76.210
gusilu.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),73.227.162.137
gusilu.diskstation.me,80,Possible GLKVM Domain (Unverified),73.227.162.137
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
h.vadima.net,9443,Possible NanoKVM Domain (Unverified),178.219.86.226
hamon0720.kami.live,59057,Possible NanoKVM Domain (Unverified),116.127.199.214
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
hauroa.freeboxos.fr,49200,Possible GLKVM Domain (Unverified),88.161.5.86
head.yeliya.site,10443,Possible PiKVM Domain (Unverified),118.195.219.163
heeleynet-uk.direct.quickconnect.to,100,Possible GLKVM Domain (Unverified),80.193.46.8
hh40a68mv96.sn.mynetname.net,8080,Possible NanoKVM Domain (Unverified),37.204.114.193
hkht-server.direct.quickconnect.to,443,Possible PiKVM Domain (Unverified),183.179.253.6
hkht-server.direct.quickconnect.to,80,Possible PiKVM Domain (Unverified),183.179.253.6
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
hlabbe.synology.me,80,Possible GLKVM Domain (Unverified),76.102.11.72
homarr.sam.net.ru,8083,Possible NanoKVM Domain (Unverified),46.32.81.28
