#domain,port,ioc,ip
b.nf,8080,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.p7z.pw,443,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.p7z.pw,80,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.s2i.ninja,443,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.s2i.ninja,80,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.sbatest.at,443,Possible BurpSuite Collaborator Domain (Unverified),185.81.215.149
b.vapt.team,33443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,3380,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,80,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b2.tlab.dpdns.org,443,Possible BurpSuite Collaborator Domain (Unverified),23.95.8.245
bandage.healthydefinitetrunk.com,443,Possible DinDoor Domain (Unverified),138.124.240.76
bc-hackner-security.com,443,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc-hackner-security.com,80,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc.cybercloud.io,443,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.cybercloud.io,80,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.foofussec.net,443,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.foofussec.net,80,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.kbry.net,443,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.nhbr.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.nhbr.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.oauth.us.to,443,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.oauth.us.to,80,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.ownsec.red,443,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.ownsec.red,80,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.pingback.zone,443,Possible BurpSuite Collaborator Domain (Unverified),138.68.114.237
bc.prodsec-os.cloudera.com,443,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.prodsec-os.cloudera.com,80,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.secura-test.com,10080,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.tesred.com,443,Possible BurpSuite Collaborator Domain (Unverified),134.199.228.178
bc.tesred.com,80,Possible BurpSuite Collaborator Domain (Unverified),134.199.228.178
bc.tiefps.net,443,Possible BurpSuite Collaborator Domain (Unverified),54.162.172.92
bc.tiefps.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.162.172.92
bc.ukpt.uk,33443,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.ukpt.uk,3380,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.ukpt.uk,80,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.websec.how,443,Possible BurpSuite Collaborator Domain (Unverified),142.202.154.98
bc.websec.how,80,Possible BurpSuite Collaborator Domain (Unverified),142.202.154.98
bcollaborator.syss.de,443,Possible BurpSuite Collaborator Domain (Unverified),185.142.184.12
bcollaborator.syss.de,80,Possible BurpSuite Collaborator Domain (Unverified),185.142.184.12
bcpoll.ukpt.uk,443,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bcsd.digitrace.de,443,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
bcsd.digitrace.de,80,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
bdef.ninja,80,Possible BurpSuite Collaborator Domain (Unverified),77.42.29.165
biomediclife.com,443,Possible DinDoor Domain (Unverified),38.180.250.214
bladerunner.lab.evilginx.com,31400,Possible Evilginx/EvilGoPhish Domain (Unverified),64.225.102.218
blog.oh-yes.us.ci,7443,Possible Mythic Domain (Unverified),113.31.106.85
bmoburpcollab.ca,443,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
bmoburpcollab.ca,80,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
bonliar.150-241-66-55.sslip.io,56001,Possible PureRAT Domain (Unverified),150.241.66.55
bp.pen-testing.ru,80,Possible BurpSuite Collaborator Domain (Unverified),5.35.85.57
br.ht,443,Possible BurpSuite Collaborator Domain (Unverified),70.34.195.164
brianandrews.email,443,Possible PureRAT Domain (Unverified),76.164.192.173
brp.li,443,Possible BurpSuite Collaborator Domain (Unverified),185.203.114.122
brp.li,80,Possible BurpSuite Collaborator Domain (Unverified),185.203.114.122
brp.prd.rocks,443,Possible BurpSuite Collaborator Domain (Unverified),104.248.231.250
brp.prd.rocks,80,Possible BurpSuite Collaborator Domain (Unverified),104.248.231.250
brp.prd.rocks,8080,Possible BurpSuite Collaborator Domain (Unverified),104.248.231.250
brp.prd.rocks,8443,Possible BurpSuite Collaborator Domain (Unverified),104.248.231.250
bryaneydt.com,8888,Possible Hak5 Cloud C2 Domain (Unverified),204.244.188.201
bugbear.silentgrid.io,80,Possible BurpSuite Collaborator Domain (Unverified),3.105.253.220
bugshieldlabs.com,80,Possible BurpSuite Collaborator Domain (Unverified),159.89.40.57
burp-collaborator.securitytest-service.com,80,Possible BurpSuite Collaborator Domain (Unverified),3.32.64.102
burp-ctr-01.schellman.info,443,Possible BurpSuite Collaborator Domain (Unverified),3.150.71.44
burp-ctr-01.schellman.info,80,Possible BurpSuite Collaborator Domain (Unverified),3.150.71.44
burp-ctr.schellman.info,443,Possible BurpSuite Collaborator Domain (Unverified),18.134.48.92
burp-ctr.schellman.info,80,Possible BurpSuite Collaborator Domain (Unverified),18.134.48.92
burp.1nteract.de,443,Possible BurpSuite Collaborator Domain (Unverified),18.184.86.194
burp.1nteract.de,80,Possible BurpSuite Collaborator Domain (Unverified),18.184.86.194
burp.a1digitalcollab.com,443,Possible BurpSuite Collaborator Domain (Unverified),138.124.209.110
burp.a1digitalcollab.com,80,Possible BurpSuite Collaborator Domain (Unverified),138.124.209.110
burp.attack.live,80,Possible BurpSuite Collaborator Domain (Unverified),136.115.216.28
burp.bsec.nz,443,Possible BurpSuite Collaborator Domain (Unverified),170.64.195.90
burp.bsec.nz,80,Possible BurpSuite Collaborator Domain (Unverified),170.64.195.90
burp.burp-csiro.com,443,Possible BurpSuite Collaborator Domain (Unverified),54.66.204.20
burp.burp-csiro.com,80,Possible BurpSuite Collaborator Domain (Unverified),54.66.204.20
burp.cai-offsec.com,443,Possible BurpSuite Collaborator Domain (Unverified),20.42.44.77
burp.cai-offsec.com,80,Possible BurpSuite Collaborator Domain (Unverified),20.42.44.77
burp.cf.stagmoon.net,80,Possible BurpSuite Collaborator Domain (Unverified),47.128.249.247
burp.colla.ovh,443,Possible BurpSuite Collaborator Domain (Unverified),98.71.8.104
burp.colla.ovh,80,Possible BurpSuite Collaborator Domain (Unverified),98.71.8.104
burp.collaborator-ps.nl,443,Possible BurpSuite Collaborator Domain (Unverified),4.231.126.11
burp.collaborator-ps.nl,80,Possible BurpSuite Collaborator Domain (Unverified),4.231.126.11
burp.corpvus.com,443,Possible BurpSuite Collaborator Domain (Unverified),165.232.128.79
burp.corpvus.com,80,Possible BurpSuite Collaborator Domain (Unverified),165.232.128.79
burp.cyberamt.de,443,Possible BurpSuite Collaborator Domain (Unverified),193.101.132.17
burp.cyberamt.de,80,Possible BurpSuite Collaborator Domain (Unverified),193.101.132.17
burp.ftpentest.com,443,Possible BurpSuite Collaborator Domain (Unverified),37.60.188.92
burp.ftpentest.com,80,Possible BurpSuite Collaborator Domain (Unverified),37.60.188.92
burp.getnexos.com,443,Possible BurpSuite Collaborator Domain (Unverified),3.122.163.65
burp.getnexos.com,80,Possible BurpSuite Collaborator Domain (Unverified),3.122.163.65
burp.gkpge.pl,443,Possible BurpSuite Collaborator Domain (Unverified),195.38.12.109
burp.golnk.xyz,443,Possible BurpSuite Collaborator Domain (Unverified),91.120.23.153
burp.golnk.xyz,80,Possible BurpSuite Collaborator Domain (Unverified),91.120.23.153
burp.hack.coach,443,Possible BurpSuite Collaborator Domain (Unverified),185.144.92.20
burp.hack.coach,80,Possible BurpSuite Collaborator Domain (Unverified),185.144.92.20
burp.juzi995.com,443,Possible BurpSuite Collaborator Domain (Unverified),117.72.73.84
burp.klabpl.com,443,Possible BurpSuite Collaborator Domain (Unverified),82.214.130.195
burp.klabpl.com,80,Possible BurpSuite Collaborator Domain (Unverified),82.214.130.195
burp.mbti.red,443,Possible BurpSuite Collaborator Domain (Unverified),162.55.60.182
burp.mbti.red,80,Possible BurpSuite Collaborator Domain (Unverified),162.55.60.182
burp.me.uk,443,Possible BurpSuite Collaborator Domain (Unverified),45.155.108.92
burp.me.uk,80,Possible BurpSuite Collaborator Domain (Unverified),45.155.108.92
burp.netti.uk,443,Possible BurpSuite Collaborator Domain (Unverified),35.177.225.48
burp.netti.uk,80,Possible BurpSuite Collaborator Domain (Unverified),35.177.225.48
burp.oast.vocepam.com,80,Possible BurpSuite Collaborator Domain (Unverified),35.210.146.128
burp.oastable.com,443,Possible BurpSuite Collaborator Domain (Unverified),45.77.199.15
burp.oastable.com,80,Possible BurpSuite Collaborator Domain (Unverified),45.77.199.15
burp.okx.ch,443,Possible BurpSuite Collaborator Domain (Unverified),82.197.162.60
burp.privsectesting.co.nz,443,Possible BurpSuite Collaborator Domain (Unverified),54.253.167.72
burp.privsectesting.co.nz,80,Possible BurpSuite Collaborator Domain (Unverified),54.253.167.72
burp.repentest.com,443,Possible BurpSuite Collaborator Domain (Unverified),13.124.46.98
burp.repentest.com,80,Possible BurpSuite Collaborator Domain (Unverified),13.124.46.98
burp.stscollabserver.com,3380,Possible BurpSuite Collaborator Domain (Unverified),64.225.7.51
burp.stscollabserver.com,443,Possible BurpSuite Collaborator Domain (Unverified),64.225.7.51
burp.stscollabserver.com,80,Possible BurpSuite Collaborator Domain (Unverified),64.225.7.51
burp.sysadvlab.work,443,Possible BurpSuite Collaborator Domain (Unverified),138.197.185.114
burp.sysadvlab.work,80,Possible BurpSuite Collaborator Domain (Unverified),138.197.185.114
burp.tencentit.com.cn,443,Possible BurpSuite Collaborator Domain (Unverified),211.159.170.170
burp.tencentit.com.cn,80,Possible BurpSuite Collaborator Domain (Unverified),211.159.170.170
burp.triaxiomsecurity.com,443,Possible BurpSuite Collaborator Domain (Unverified),104.236.229.66
burp.triaxiomsecurity.com,80,Possible BurpSuite Collaborator Domain (Unverified),104.236.229.66
burp.tvmglobal.com,443,Possible BurpSuite Collaborator Domain (Unverified),88.208.96.173
burp.tvmglobal.com,80,Possible BurpSuite Collaborator Domain (Unverified),88.208.96.173
burp.usd.de,443,Possible BurpSuite Collaborator Domain (Unverified),82.98.89.2
burp.usd.de,80,Possible BurpSuite Collaborator Domain (Unverified),82.98.89.2
burpcol.versprite.services,443,Possible BurpSuite Collaborator Domain (Unverified),50.116.39.56
burpcollab.anvilsec.com,443,Possible BurpSuite Collaborator Domain (Unverified),20.253.226.62
burpcollab.anvilsec.com,80,Possible BurpSuite Collaborator Domain (Unverified),20.253.226.62
burpcollab.poc-sec-1.com,443,Possible BurpSuite Collaborator Domain (Unverified),80.168.64.195
burpcollab.poc-sec-1.com,80,Possible BurpSuite Collaborator Domain (Unverified),80.168.64.195
burpcollaborator.8compt.com,443,Possible BurpSuite Collaborator Domain (Unverified),213.183.73.220
burpcollaborator.8compt.com,80,Possible BurpSuite Collaborator Domain (Unverified),213.183.73.220
burpcollaborator.cns-test.net,443,Possible BurpSuite Collaborator Domain (Unverified),77.109.136.199
burpcollaborator.cns-test.net,80,Possible BurpSuite Collaborator Domain (Unverified),77.109.136.199
burpcollaborator.dnsc.at,443,Possible BurpSuite Collaborator Domain (Unverified),62.212.188.62
burpcollaborator.dnsc.at,80,Possible BurpSuite Collaborator Domain (Unverified),62.212.188.62
burpcollaborator.elttam.au,443,Possible BurpSuite Collaborator Domain (Unverified),3.27.222.163
burpcollaborator.elttam.au,80,Possible BurpSuite Collaborator Domain (Unverified),3.27.222.163
burpcollaborator.scip-red.ch,443,Possible BurpSuite Collaborator Domain (Unverified),141.195.91.73
burpcollaborator.scip-red.ch,80,Possible BurpSuite Collaborator Domain (Unverified),141.195.91.73
burpcollaborator.spiral-sec.com,443,Possible BurpSuite Collaborator Domain (Unverified),172.105.159.243
burpcollaborator.spiral-sec.com,80,Possible BurpSuite Collaborator Domain (Unverified),172.105.159.243
burpserver.doyentesting.com,443,Possible BurpSuite Collaborator Domain (Unverified),54.212.65.29
burpserver.doyentesting.com,80,Possible BurpSuite Collaborator Domain (Unverified),54.212.65.29
business-bd.ezwage.com,118,Possible Metasploit Domain (Unverified),36.255.71.72
businessonlinesa.co.za,6606,Possible AsyncRAT Domain (Unverified),46.151.182.76
c-n8n.bi-concepts.eu,8443,Possible wstunnel Domain (Unverified),82.165.185.66
c.c2.rip,8443,Possible BurpSuite Collaborator Domain (Unverified),143.244.212.178
c.ccxsta.com,443,Possible BurpSuite Collaborator Domain (Unverified),13.236.11.163
c.ccxsta.com,80,Possible BurpSuite Collaborator Domain (Unverified),13.236.11.163
c.csacyber.org,443,Possible BurpSuite Collaborator Domain (Unverified),178.62.62.9
c.csacyber.org,80,Possible BurpSuite Collaborator Domain (Unverified),178.62.62.9
c.fqd.rest,80,Possible BurpSuite Collaborator Domain (Unverified),89.169.136.22
c.hax.sk,443,Possible BurpSuite Collaborator Domain (Unverified),206.81.17.217
c.hax.sk,80,Possible BurpSuite Collaborator Domain (Unverified),206.81.17.217
c.huskpup.com,33443,Possible BurpSuite Collaborator Domain (Unverified),38.100.163.97
c.huskpup.com,3380,Possible BurpSuite Collaborator Domain (Unverified),38.100.163.97
c.huskpup.com,443,Possible BurpSuite Collaborator Domain (Unverified),38.100.163.97
c.huskpup.com,80,Possible BurpSuite Collaborator Domain (Unverified),38.100.163.97
c.p.asop.gg,443,Possible BurpSuite Collaborator Domain (Unverified),4.233.86.4
c.p.asop.gg,80,Possible BurpSuite Collaborator Domain (Unverified),4.233.86.4
c.p0w.pw,443,Possible BurpSuite Collaborator Domain (Unverified),194.87.234.191
c.p0w.pw,80,Possible BurpSuite Collaborator Domain (Unverified),194.87.234.191
c.profundis-labs.de,443,Possible BurpSuite Collaborator Domain (Unverified),178.63.252.192
c.profundis-labs.de,80,Possible BurpSuite Collaborator Domain (Unverified),178.63.252.192
